ID,Requerimiento,Categoría,Estado,Estimado,Módulo
RNF-002,El software permitirá el almacenamiento de contraseñas mediante el cifrado BCrypt.,Seguridad,✅ Implementado,,Seguridad
RNF-003,El software permitirá el acceso a recursos únicamente mediante la validación de roles.,Seguridad,✅ Implementado,,Seguridad
RNF-009,[NUEVO] El software permitirá la encriptación de datos sensibles en reposo (PII tarjetas documentos) mediante AES-256.,Seguridad,❌ Pendiente,1 semana,Seguridad
RNF-010,[NUEVO] El software permitirá comunicación segura mediante HTTPS/TLS obligatorio con redirección automática de HTTP y headers de seguridad.,Seguridad,❌ Pendiente,3 días,Seguridad
RNF-012,[NUEVO] El software cumplirá con estándares OWASP Top 10 2023 incluyendo validación inyección autenticación y criptografía.,Seguridad,⚠️ Parcial,4 semanas,Seguridad
RNF-001,El software permitirá tiempos de respuesta en el radar inferiores a 500ms en p95.,Rendimiento,⚠️ Parcial,2 semanas,Rendimiento
RNF-017,[NUEVO] El software permitirá estrategia de caching distribuido con Redis para promociones lugares y establecimientos (10-30 min TTL).,Rendimiento,❌ Pendiente,1 semana,Rendimiento
RNF-018,[NUEVO] El software permitirá validación de performance mediante load testing con herramientas como JMeter/Gatling en diferentes escenarios.,Rendimiento,❌ Pendiente,1 semana,Rendimiento
RNF-004,El software permitirá una disponibilidad continua del servicio del 99.5% (máximo 22 minutos downtime/mes) con load balancer replicación MySQL y Kubernetes.,Disponibilidad,❌ Pendiente,4 semanas,Disponibilidad
RNF-019,[NUEVO] El software permitirá backup automático diario con retención de 30 días operacionales y 7 años archivado con RTO 4 horas y RPO 1 hora.,Disponibilidad,❌ Pendiente,1 semana,Disponibilidad
RNF-005,El software permitirá una visualización correcta en dispositivos móviles (Responsive) con breakpoints para mobile tablet y desktop.,Usabilidad,⚠️ Desconocido,1-2 semanas,Usabilidad
RNF-006,El software permitirá el manejo de datos espaciales en la base de datos (Geometry con SRID 4326).,Técnico,✅ Implementado,,Técnico
RNF-007,El software permitirá la integración con servicios externos mediante una arquitectura REST (OpenFeign Mercado Pago SDK).,Técnico,✅ Implementado,,Técnico
RNF-020,[NUEVO] El software permitirá versionado de API para cambios sin ruptura de clientes (/api/v1 /api/v2) con soporte mínimo 1 año por versión.,Técnico,❌ Pendiente,3 días,Técnico
RNF-008,El software permitirá un mantenimiento eficiente siguiendo estándares de Clean Code con excepciones personalizadas logging estructurado y tests unitarios (60%+ cobertura).,Mantenibilidad,⚠️ Parcial,4 semanas,Mantenibilidad
RNF-011,[NUEVO] El software permitirá sistema de auditoría completo registrando login cambios de datos aprobaciones transacciones con retención 1 año operacional + 7 años archivado.,Mantenibilidad,❌ Pendiente,2 semanas,Mantenibilidad
RNF-021,[NUEVO] El software permitirá documentación automática de API mediante Swagger/OpenAPI con interfaz interactiva en /swagger-ui.html.,Mantenibilidad,❌ Pendiente,3 días,Mantenibilidad
